Elo	Username	W	L	T	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
NaN	Username	NaN	NaN	NaN	Last update
1098.3274383204678	fygujhkjb	2	0	0	Sat Jun 18 2022 23:19:04 GMT-0400 (Eastern Daylight Time)
1064.0015080992519	fdghjhk	1	0	0	Fri Jun 17 2022 22:33:40 GMT-0400 (Eastern Daylight Time)
1060.7681279899189	sdfyguyhij	1	0	0	Fri Jun 17 2022 22:46:28 GMT-0400 (Eastern Daylight Time)
1059.4764158798255	zAecsvdbgfgrfwev	1	0	0	Sat Jun 18 2022 22:37:52 GMT-0400 (Eastern Daylight Time)
1058.4178610359986	qSDDASA	1	0	0	Fri Jun 17 2022 19:04:59 GMT-0400 (Eastern Daylight Time)
1057.987784982761	qewrgtw3er4egth	1	0	0	Fri Jun 17 2022 23:27:21 GMT-0400 (Eastern Daylight Time)
1057.3646571302515	sqdwqdsd	1	0	0	Sat Jun 18 2022 01:18:58 GMT-0400 (Eastern Daylight Time)
1055.7014469287815	dqwgfewqf	1	0	0	Sat Jun 18 2022 09:58:06 GMT-0400 (Eastern Daylight Time)
1055.6072280649214	edwdwdw	1	0	0	Sat Jun 18 2022 01:07:27 GMT-0400 (Eastern Daylight Time)
1055.0738787697273	dfretytujuytr	1	0	0	Sat Jun 18 2022 01:21:53 GMT-0400 (Eastern Daylight Time)
1053.6492824804484	sqdqqwdq	1	0	0	Sat Jun 18 2022 10:08:22 GMT-0400 (Eastern Daylight Time)
1053.1110980550147	rfeffesfesf	1	0	0	Sat Jun 18 2022 01:49:49 GMT-0400 (Eastern Daylight Time)
1053.0092099451988	sqdqdqdq	1	0	0	Sat Jun 18 2022 23:28:06 GMT-0400 (Eastern Daylight Time)
1052.010095111146	xdwqfersdbfrefwd	1	0	0	Sun Jun 19 2022 15:28:55 GMT-0400 (Eastern Daylight Time)
1051.3365491497248	qwjhsqwj	1	0	0	Sun Jun 19 2022 00:45:35 GMT-0400 (Eastern Daylight Time)
1050.4750336518073	dsfghjklkh	1	0	0	Sun Jun 19 2022 15:44:17 GMT-0400 (Eastern Daylight Time)
1049.893004835127	djghkdwsq	1	0	0	Sun Jun 19 2022 01:04:02 GMT-0400 (Eastern Daylight Time)
1048.6417690738529	wsdqddq	1	0	0	Sun Jun 19 2022 14:42:53 GMT-0400 (Eastern Daylight Time)
1047.5524849755045	qsytutsu	1	0	0	Sun Jun 19 2022 15:01:59 GMT-0400 (Eastern Daylight Time)
1040.2375417168414	sdfhgjhkl	1	2	0	Fri Jun 17 2022 02:09:56 GMT-0400 (Eastern Daylight Time)
1033.365833388344	fghjkjbh	1	2	0	Sat Jun 18 2022 22:32:03 GMT-0400 (Eastern Daylight Time)
1032.1086338845	analysis geek	11	22	0	Sun Jun 19 2022 15:44:17 GMT-0400 (Eastern Daylight Time)
1000	sfdghjkl	0	1	0	Sun Jun 19 2022 15:26:33 GMT-0400 (Eastern Daylight Time)
1000	ewedfwgre	0	1	0	Sat Jun 18 2022 09:47:34 GMT-0400 (Eastern Daylight Time)
1000	sqwddq	0	1	0	Sat Jun 18 2022 01:16:04 GMT-0400 (Eastern Daylight Time)
1000	srdtfguyhiuj	0	1	0	Fri Jun 17 2022 21:38:37 GMT-0400 (Eastern Daylight Time)
1000	fdghjklvbj	0	1	0	Fri Jun 17 2022 21:10:43 GMT-0400 (Eastern Daylight Time)
1000	adwfad	0	1	0	Fri Jun 17 2022 19:12:25 GMT-0400 (Eastern Daylight Time)
1000	wsefwwe	0	1	0	Fri Jun 17 2022 18:16:08 GMT-0400 (Eastern Daylight Time)
